BlockNo,Area,Zip,Geom
400543,105882,"11102","(-73.92573766759183,40.771299187680896)"
204051,145275,"10462","(-73.8651545432183,40.84662081905266)"
204855,179719,"10466","(-73.85403918967644,40.89032912327906)"
302241,120340,"11206","(-73.9513032481831,40.702369534331005)"
101154,528637,"10023","(-73.98743404827336,40.77320486127948)"
414160,4000,"11414","(-73.83459041474077,40.662415099248314)"
402743,91813,"11378","(-73.90267450707363,40.71652442139789)"
306584,188600,"11230","(-73.97214021715781,40.61287744208768)"
307444,134992,"11235","(-73.94148744968709,40.59045385994479)"
403483,56857,"11385","(-73.90191505925686,40.70328084900971)"
300526,77174,"11231","(-74.00352033067605,40.67746141930831)"
301455,132491,"11233, 11212","(-73.90985925398697,40.673482895095304)"
302283,90000,"11249","(-73.95645580980568,40.72211794993771)"
500054,291834,"10301","(-74.08845231768012,40.64326840329016)"
506618,0,"","(-74.19530701779232,40.52990459485297)"
304364,110000,"11207","(-73.89257479841835,40.65464540922743)"
305835,61875,"11220","(-74.03469605735872,40.6416447456022)"
307576,159216,"11210","(-73.9466605880252,40.63045244819937)"
406624,4182,"11367","(-73.82081894750695,40.724048512939156)"
308452,140000,"11234","(-73.90038194860868,40.61736156245162)"
402754,99062,"11378","(-73.90178673895738,40.718743292592755)"
402952,69934,"11379","(-73.8880679683421,40.717036739479695)"
404594,53103,"11357","(-73.79951483553066,40.789286826057975)"
301505,148843,"11233","(-73.91855840163124,40.682773749335354)"
205654,947288,"10475","(-73.81823643941844,40.8855586952149)"
101819,25782340,"10035","(-73.92492764702918,40.79013343728277)"
306669,155001,"11223","(-73.98377326660417,40.60174293654237)"
302168,294960,"11249","(-73.96474187096166,40.70633075405765)"
415932,96209,"11692","(-73.78986656535493,40.58999116133477)"
301440,149530,"11233","(-73.9151986600233,40.67537385577253)"
204112,138717,"10461","(-73.84831974488948,40.84860276751045)"
300614,2553863,"11231, 11217","(-74.00774039245736,40.669305329157226)"
306416,140560,"11214","(-73.99536193124665,40.598683870760674)"
402987,61710,"11379","(-73.87794538310735,40.7185557073965)"
307615,160031,"11210","(-73.9433258701039,40.62594062136773)"
303327,4790,"11237","(-73.9140810238011,40.699079205607866)"
500955,11309163,"10314","(-74.1307893721726,40.59247935584198)"
302333,40000,"11249","(-73.96197853424651,40.71909727364312)"
304942,53886,"11203","(-73.93687150277067,40.64448042006721)"
306997,620641,"11224, 11214","(-73.98398729987078,40.581487820133106)"
500605,134472,"10301","(-74.1017219819552,40.61612554955426)"
308744,111571,"11235","(-73.94739135110207,40.58079745743401)"
400598,166437,"11102","(-73.91981950417563,40.769124574937216)"
501031,108828,"10302","(-74.13259289047807,40.63348245901896)"
400846,244979,"11105","(-73.91009771405848,40.77741357848524)"
202426,197365,"10456","(-73.91097691950989,40.830842166865885)"
400446,119338,"11101","(-73.94811449738718,40.74941887537819)"
300870,126178,"11215","(-73.98312001069726,40.659201648026816)"
203908,120164,"10460","(-73.87476266201728,40.83876483009737)"
204297,155246,"10462","(-73.86249309371722,40.853348723321105)"
204529,119227,"10469","(-73.84759230784412,40.86619975518609)"
403289,9108,"11375","(-73.84027069778655,40.71561231190752)"
204161,128570,"10461","(-73.83486534342603,40.846087053610816)"
204819,98712,"10466","(-73.8645468811498,40.88747582246616)"
308133,160330,"11236","(-73.90407261976327,40.65078052332637)"
404077,43112,"11356","(-73.84629054565235,40.78453114292804)"
303376,119999,"11221","(-73.91364415961023,40.692686302390975)"
402622,256234,"11378","(-73.91105557570663,40.7182490746445)"
502890,70147,"10304","(-74.08574937567323,40.60969050277431)"
305828,113484,"11220","(-74.01835070805885,40.63567465186956)"
202697,76911,"10459","(-73.89742248472949,40.82089546585943)"
101561,125237,"10028","(-73.9503608806727,40.77349846329635)"
202316,160700,"10454","(-73.930704627366,40.80749137646939)"
400206,2000,"11104","(-73.9266711305114,40.73934661625447)"
303130,18880,"11206","(-73.94118150156707,40.700688983588215)"
203397,76206,"10470","(-73.86315835423335,40.89837059033286)"
204303,89984,"10461","(-73.85778107847973,40.853517746396186)"
401870,2502,"11373","(-73.87020458681401,40.737629175469046)"
307620,168000,"11230, 11210","(-73.9551695484798,40.6222085645224)"
100908,120442,"10016","(-73.97996338289694,40.741190197423194)"
304412,104340,"11207","(-73.88727203848241,40.653273409693305)"
505772,167574,"10312","(-74.18589601375793,40.553110857824876)"
404097,52444,"11356","(-73.8389345775213,40.785230847665254)"
101134,550512,"10023","(-73.984152130394,40.77262655493671)"
502089,20000,"10314","(-74.14921714160742,40.60763887659372)"
502627,120058,"10314","(-74.18750809375359,40.592529556620434)"
306175,140000,"11204","(-73.98580919994448,40.61141372575448)"
303785,228640,"11207","(-73.89743394798042,40.6666492496481)"
504315,105842,"10306","(-74.12860350221092,40.573856733543366)"
506403,90000,"10312","(-74.16951688387623,40.52865865641009)"
203047,99185,"10457","(-73.8945313837232,40.85150687133787)"
204718,78696,"10469","(-73.85089358344973,40.879117068565556)"
500706,557869,"10314","(-74.11964568766724,40.60773876841095)"
305923,143684,"11228","(-74.0142311234776,40.62584501260391)"
401546,1959,"11373","(-73.87950154509686,40.738718528425366)"
303293,148618,"11221","(-73.92425522357198,40.691300822039715)"
504472,212430,"10306","(-74.1333365089214,40.56447219626056)"
505402,82600,"10312","(-74.16493556095928,40.532892318529235)"
300597,77940,"11231","(-74.01511228596436,40.67641976000023)"
401001,45365,"11370","(-73.89951578431572,40.76773989238761)"
203179,156719,"10453","(-73.9059830285564,40.85461461639577)"
300393,125004,"11217","(-73.98567451384612,40.68365181255693)"
503563,159412,"10306, 10314","(-74.10631030802311,40.583266122823)"
205742,78898,"10463","(-73.91445645763574,40.88387467312406)"
303831,100088,"11212","(-73.90131735233861,40.6612884882651)"
202864,157301,"10452","(-73.92006732891218,40.83950658443239)"
503347,118261,"10305","(-74.08485900346065,40.594730396644295)"
408853,116726,"11421","(-73.86004284304224,40.69292598662326)"
416030,6900,"11692","(-73.7932979387657,40.59669933464242)"
416267,148794,"11694","(-73.85219667075786,40.5755471363705)"
301992,44022,"11238","(-73.96016074566424,40.68247320644233)"
301819,146180,"11216","(-73.94581813298338,40.68564083574789)"
205649,5445000,"10473","(-73.77514788301883,40.85546254021956)"
400613,115744,"11106","(-73.92381757871415,40.76320923101573)"
305121,160000,"11226","(-73.96285612715806,40.645766109698336)"
406761,2850,"11365","(-73.80486380468888,40.73730235373794)"
305107,191362,"11226","(-73.9540547275393,40.64915611486853)"
506894,133765,"10309","(-74.20559241723107,40.54127408101561)"
203346,103309,"10467","(-73.87655538623805,40.8746764488407)"
204626,34944,"10467","(-73.86966925157238,40.8756925167506)"
402745,89334,"11378","(-73.9026858180937,40.714789739864756)"
301006,125234,"11215","(-73.98248573566472,40.66779330181478)"
302003,102900,"11217","(-73.97460062159894,40.68466181679313)"
413983,108000,"11414","(-73.84797158645807,40.65887334358197)"
100250,128024,"10002, 10038","(-73.99512781961597,40.709891476385366)"
308500,140000,"11234","(-73.93405668959103,40.60938570109746)"
303343,120000,"11221","(-73.91521367630929,40.69587378614086)"
505639,239128,"10312","(-74.17436500190846,40.55281901282784)"
413592,5000,"11422","(-73.73167109235398,40.66023718204262)"
204011,276785,"10462, 10460","(-73.87076343839895,40.84457116380719)"
507187,3014056,"10309","(-74.22902641066221,40.55178832568224)"
507589,143000,"","(-74.23720005464394,40.52532332981206)"
302276,63795,"11206","(-73.94320544463932,40.7008824745666)"
409195,66075,"11418","(-73.84047998696981,40.70047716723375)"
203698,160314,"10473","(-73.84487763913076,40.82570909767545)"
303088,79938,"11206","(-73.94364335464076,40.704742952646804)"
205078,99613,"10470","(-73.85390155013316,40.90403278087781)"
307062,92661,"11224","(-73.98412149777995,40.57604133147071)"
307929,77018,"11203","(-73.92599118008953,40.64148001895575)"
203519,139769,"10473","(-73.86496381406211,40.81564761737306)"
403513,90222,"11385","(-73.89903522628028,40.70403691726176)"
403849,67512,"11385","(-73.86003446187493,40.703512204060374)"
205001,112085,"10466","(-73.85315144851829,40.89357692275014)"
100232,64804,"10013","(-74.00063840790612,40.720155647386726)"
402567,1405376,"11378","(-73.91494687545665,40.729344760952536)"
202495,455776,"10452","(-73.92361071949816,40.833791723488616)"
303536,100105,"11212","(-73.9169489000803,40.66534807524825)"
306607,145072,"11230, 11204","(-73.97377079923372,40.610068929458585)"
102247,111415,"10034","(-73.9275343090671,40.86710184868094)"
203685,158271,"10473","(-73.85082570686657,40.82417129436938)"
306528,192800,"11230","(-73.96833929157921,40.62319985656064)"
307813,263915,"11234, 11210","(-73.93548229291021,40.62517656583544)"
101747,163482,"10035","(-73.94177001775824,40.8028702557911)"
501516,99329,"10314","(-74.155970418119,40.61588994307601)"
102199,99669,"10034","(-73.92006732202124,40.861222197254776)"
205559,505243,"10465","(-73.83744647958984,40.8227339783569)"
204176,124984,"10461","(-73.8295416699042,40.84695456084322)"
303666,55125,"11207","(-73.90028141930749,40.67616157151695)"
301837,189380,"11216","(-73.95175591863863,40.681958839314085)"
101103,123026,"10019","(-73.99322672171627,40.7698156868184)"
305367,82085,"11218","(-73.9803047328693,40.63835481588358)"
308768,27999,"11235","(-73.95334105492641,40.585509413413504)"
203258,463708,"10463","(-73.89816475516182,40.880691192610755)"
305255,39644,"11218","(-73.97716056860394,40.655586140812815)"
305581,141240,"11215","(-73.99317326776948,40.64608561597977)"
405944,3225,"11360","(-73.77817422119733,40.785861468891426)"
504449,450150,"10306","(-74.15304671076376,40.569151970583356)"
102001,338383,"10031, 10027","(-73.95699443384056,40.82002540110469)"
308542,140000,"11234","(-73.9239597231995,40.61032488716374)"
416133,92423,"11693","(-73.81380115546568,40.586312799850354)"
305615,128769,"11219","(-73.99339758846472,40.638989557486305)"
100742,147153,"10011","(-74.00189698949792,40.74313641091198)"
304593,196239,"11212","(-73.92988689840779,40.66232734255318)"
500896,200801,"10304","(-74.10914704088016,40.586449218647346)"
202354,257653,"10451","(-73.92857718800839,40.821917203355504)"
203533,158364,"10473","(-73.85253682295841,40.81802958726859)"
307002,120000,"11224","(-74.00664283877458,40.57614454045789)"
305907,139285,"11209","(-74.02842305415705,40.63348909060626)"
409333,4500,"11418","(-73.82539958241242,40.69949862305953)"
406051,4500,"11361","(-73.77705723569262,40.77345074145158)"
300524,14970,"11231","(-74.00633477542968,40.67805143327833)"
307334,157580,"11229","(-73.94261494628641,40.60149759870782)"
504076,33721,"10306","(-74.10048361309393,40.56489398428313)"
412201,4000,"11434","(-73.79125509506895,40.6826052697264)"
301389,154417,"11213","(-73.93521570505766,40.669605785843416)"
402925,148350,"11379","(-73.88847355785185,40.719388470398584)"
406501,10418,"11367","(-73.82982045638722,40.738090759262306)"
302706,47506,"11222","(-73.94075115371561,40.722987911741114)"
303514,174053,"11212","(-73.91747892495971,40.667377894164105)"
403058,186917,"11379","(-73.87973852783493,40.713973001452494)"
307886,138000,"11234","(-73.9333499985349,40.6154530598901)"
503679,171554,"10306","(-74.09729212089765,40.57916187817458)"
404512,150664,"11357","(-73.8148663801864,40.79460875895728)"
416155,256728,"11694","(-73.82121207092594,40.58531232524556)"
500432,42000,"10314","(-74.134483438095,40.6182272442203)"
306753,180527,"11230","(-73.95885738049161,40.61433464453388)"
401102,3993,"11369","(-73.87863728763705,40.76499841636765)"
100616,83927,"10014","(-74.00313234316002,40.73865635183654)"
203140,101142,"10460","(-73.87789891915705,40.84190580128042)"
102036,147744,"10039","(-73.93797712612648,40.825726843996165)"
308593,173702,"11234","(-73.91487471429855,40.60775574396804)"
300810,140556,"11220","(-74.00626518979236,40.64037885382043)"
503798,87911,"10306","(-74.09466035010085,40.57404917519303)"
